iter	Logloss
0	0.6914235188
1	0.6900679238
2	0.6885150512
3	0.6870029855
4	0.6850842566
5	0.6838298768
6	0.6826818705
7	0.681384455
8	0.6801903202
9	0.6791743369
10	0.6780612178
11	0.676973507
12	0.6760128004
13	0.6751830481
14	0.67431423
15	0.6737478753
16	0.6729863112
17	0.6720580037
18	0.6713632362
19	0.6709408339
20	0.6704531851
21	0.6701514625
22	0.6696328676
23	0.6689973499
24	0.6684468604
25	0.6679361456
26	0.6675402301
27	0.6671087323
28	0.6667415618
29	0.6664275369
30	0.665986989
31	0.6656800036
32	0.6652833101
33	0.6648857057
34	0.6645203803
35	0.6639171337
36	0.6636415074
37	0.6634558669
38	0.6630622368
39	0.6627745127
40	0.6625829282
41	0.6623722803
42	0.6620048784
43	0.6618064188
44	0.6614296006
45	0.6612278558
46	0.6609259161
47	0.6607433961
48	0.6605141098
49	0.6602979322
50	0.6601938123
51	0.6598787264
52	0.6596724225
53	0.6594641831
54	0.6591958104
55	0.6589954104
56	0.6588864284
57	0.6588250298
58	0.6586637002
59	0.658288119
60	0.6580700491
61	0.6579374828
62	0.6575485934
63	0.6573711048
64	0.6569988184
65	0.6567606838
66	0.656682268
67	0.6566029326
68	0.6564522175
69	0.6563865761
70	0.6562319617
71	0.656062322
72	0.655964513
73	0.6558244934
74	0.6557336441
75	0.6556977125
76	0.6555846552
77	0.6554590184
78	0.6552900442
79	0.6551652074
80	0.655107598
81	0.6549403943
82	0.6548410584
83	0.6545754938
84	0.654554114
85	0.6544810387
86	0.6543616387
87	0.6542479887
88	0.6541525025
89	0.6540564543
90	0.6539606657
91	0.65391392
92	0.653788335
93	0.6537033674
94	0.6536297192
95	0.6535533556
96	0.6534259795
97	0.6533239199
98	0.6531928926
99	0.6530698819
100	0.6529637427
101	0.6527635268
102	0.6524820866
103	0.6522342258
104	0.6521346571
105	0.652014572
106	0.6519542332
107	0.6519325969
108	0.651852797
109	0.651835002
110	0.6518211074
111	0.6517062208
112	0.6515857731
113	0.6514922443
114	0.6514071608
115	0.6513838976
116	0.6513551497
117	0.6512664114
118	0.6511734356
119	0.6511037136
120	0.6508316327
121	0.6507387911
122	0.650714855
123	0.6506289644
124	0.6505714471
125	0.6504777201
126	0.6504442639
127	0.6503453088
128	0.6503054151
129	0.6502273332
130	0.6501413748
131	0.6501206089
132	0.6500784417
133	0.6500360882
134	0.6498871768
135	0.6498193903
136	0.6498064961
137	0.649732842
138	0.6497107248
139	0.6496750126
140	0.6495687835
141	0.6495342688
142	0.6493337211
143	0.6492744795
144	0.6492453599
145	0.6492201045
146	0.6491726094
147	0.6491651063
148	0.649109519
149	0.6490707093
150	0.6489456204
151	0.648842607
152	0.6487178551
153	0.6487072584
154	0.6486381313
155	0.6486003635
156	0.6482557741
157	0.6482368837
158	0.6482031314
159	0.6481756024
160	0.6481320378
161	0.6481141757
162	0.6480439974
163	0.6479900177
164	0.6479833607
165	0.6479574442
166	0.6479255203
167	0.6478733493
168	0.6478000697
169	0.6477878671
170	0.6477330892
171	0.6476665517
172	0.6476164284
173	0.6475786754
174	0.6475588921
175	0.6475253229
176	0.647437429
177	0.6474074076
178	0.647341299
179	0.6473314031
180	0.6472488793
181	0.6471937941
182	0.6471664312
183	0.6470838204
184	0.6470838204
185	0.6470630837
186	0.647056918
187	0.6470341406
188	0.6469349824
189	0.6468922661
190	0.6468733741
191	0.6468051972
192	0.6467705496
193	0.646750753
194	0.6463421245
195	0.646309752
196	0.6462402763
197	0.6461895458
198	0.6461722132
199	0.646109497
200	0.6460937427
201	0.6460811122
202	0.6460296305
203	0.6459912171
204	0.6459159755
205	0.645885378
206	0.6458327135
207	0.6457816823
208	0.6457368938
209	0.6456486309
210	0.6455311968
211	0.6454494388
212	0.6454438203
213	0.6453993505
214	0.6453707417
215	0.6453024644
216	0.6452521267
217	0.6452011004
218	0.6451939932
219	0.6451524344
220	0.6450961484
221	0.6450721142
222	0.645055889
223	0.6450548537
224	0.6450410762
225	0.6450145391
226	0.6449683401
227	0.6449640422
228	0.644877927
229	0.6448731059
230	0.644811607
231	0.6447081084
232	0.6446541051
233	0.6446155778
234	0.6445705144
235	0.6445487729
236	0.6445401503
237	0.6445216007
238	0.6444547925
239	0.6444154949
240	0.6443741712
241	0.6443598308
242	0.6442820841
243	0.6442320959
244	0.6439516232
245	0.6439113999
246	0.6439030761
247	0.6438825123
248	0.6438445064
249	0.6437989514
250	0.6437575594
251	0.6437183992
252	0.6437130937
253	0.6436526924
