iter	Passed	Remaining
0	447	447433
1	642	320658
2	939	312063
3	1300	323812
4	1689	336231
5	1965	325655
6	2335	331355
7	2696	334397
8	3058	336771
9	3427	339316
10	3767	338718
11	4120	339255
12	4401	334191
13	4787	337198
14	5141	337627
15	5318	327095
16	5701	329705
17	6041	329615
18	6332	326945
19	6633	325054
20	6934	323302
21	7052	313514
22	7410	314776
23	7758	315500
24	8114	316479
25	8440	316193
26	8818	317806
27	9107	316176
28	9470	317109
29	9715	314138
30	10116	316236
31	10423	315319
32	10802	316560
33	11172	317436
34	11557	318669
35	11906	318834
36	12293	319951
37	12561	318011
38	12948	319054
39	13407	321768
40	13845	323845
41	14264	325360
42	14644	325920
43	15033	326636
44	15432	327510
45	15853	328791
46	16232	329148
47	16417	325616
48	16770	325479
49	17128	325437
50	17244	320887
51	17605	320966
52	17956	320840
53	18348	321434
54	18747	322123
55	19110	322150
56	19277	318923
57	19439	315731
58	19806	315895
59	20173	316059
60	20560	316495
61	20900	316199
62	21279	316483
63	21641	316500
64	21986	316261
65	22343	316196
66	22507	313429
67	22762	311983
68	23077	311377
69	23301	309583
70	23677	309802
71	24028	309696
72	24414	310027
73	24789	310205
74	25165	310374
75	25280	307359
76	25645	307416
77	26015	307513
78	26373	307466
79	26739	307504
80	26964	305925
81	27307	305708
82	27675	305769
83	28033	305704
84	28214	303715
85	28513	303035
86	28879	303072
87	29239	303023
88	29598	302969
89	29893	302252
90	30273	302406
91	30653	302540
92	31036	302693
93	31401	302655
94	31747	302433
95	31988	301227
96	32350	301155
97	32706	301035
98	33057	300856
99	33430	300871
100	33771	300600
101	34145	300613
102	34513	300565
103	34872	300442
104	35244	300413
105	35639	300578
106	35993	300395
107	36111	298256
108	36474	298151
109	36593	296072
110	36712	294030
111	37064	293865
112	37438	293876
113	37823	293962
114	38135	293479
115	38295	291834
116	38654	291725
117	39036	291780
118	39416	291813
119	39755	291537
120	40126	291497
121	40464	291213
122	40646	289811
123	41011	289728
124	41374	289623
125	41719	289386
126	41940	288300
127	42261	287906
128	42476	286797
129	42838	286687
130	43217	286684
131	43385	285293
132	43773	285350
133	44083	284897
134	44430	284683
135	44789	284543
136	45053	283806
137	45403	283606
138	45664	282859
139	46022	282709
140	46368	282486
141	46686	282092
142	46992	281627
143	47364	281555
144	47710	281325
145	47958	280524
146	48328	280435
147	48514	279287
148	48878	279162
149	49261	279151
150	49636	279080
151	50021	279064
152	50387	278944
153	50515	277508
154	50872	277339
155	51236	277203
156	51692	277556
157	51876	276455
158	52253	276385
159	52625	276283
160	52941	275887
161	53059	274470
162	53438	274404
163	53811	274306
164	53932	272931
165	54179	272202
166	54559	272142
167	54939	272080
168	55304	271942
169	55477	270859
170	55861	270811
171	56230	270691
172	56578	270466
173	56794	269612
174	57084	269113
175	57397	268726
176	57884	269145
177	58111	268358
178	58450	268089
179	58695	267391
180	59077	267315
181	59476	267318
182	59641	266267
183	60024	266193
184	60091	264728
185	60450	264551
186	60565	263315
187	60949	263251
188	61310	263082
189	61679	262950
190	62027	262723
191	62408	262635
192	62781	262509
193	63140	262326
194	63478	262050
195	63824	261809
196	64154	261501
197	64508	261291
198	64858	261061
199	65208	260833
200	65405	259993
201	65675	259452
202	66057	259347
203	66411	259134
204	66707	258695
205	67032	258368
206	67393	258180
207	67728	257891
208	68089	257698
209	68433	257441
210	68786	257215
211	69156	257053
212	69271	255947
213	69637	255770
214	69999	255578
215	70347	255333
216	70710	255145
217	71000	254689
218	71182	253850
219	71465	253377
220	71848	253258
221	72188	252984
222	72574	252870
223	72765	252081
224	73099	251787
225	73451	251555
226	73632	250739
227	73756	249736
228	74101	249486
229	74288	248704
230	74662	248550
231	75037	248399
232	75517	248591
233	75892	248434
234	76257	248243
235	76610	248009
236	76798	247247
237	77176	247094
238	77547	246919
239	77908	246710
240	78284	246546
241	78665	246397
242	79042	246235
243	79407	246032
244	79767	245813
245	80102	245518
246	80333	244903
247	80672	244618
248	81039	244421
249	81396	244188
250	81760	243979
251	82115	243738
252	82233	242801
253	82701	242893
254	82822	241971
255	83173	241723
256	83515	241446
257	83752	240869
258	84095	240598
259	84227	239723
260	84340	238804
261	84692	238562
262	85076	238407
263	85447	238216
264	85826	238046
265	85961	237200
266	86322	236982
267	86696	236797
268	87049	236555
269	87396	236293
270	87727	235989
271	88218	236114
272	88599	235941
273	88982	235770
274	89156	235048
275	89467	234690
276	89825	234454
277	90186	234225
278	90564	234039
279	90929	233819
280	91290	233586
281	91540	233070
282	91919	232885
283	92305	232714
284	92686	232530
285	93060	232324
286	93418	232081
287	93795	231883
288	93971	231188
289	94334	230956
290	94517	230286
291	94899	230097
292	95267	229876
293	95630	229643
294	96003	229432
295	96454	229405
296	96844	229231
297	97225	229033
298	97606	228837
299	97960	228574
300	98353	228401
301	98743	228221
302	99112	227991
303	99490	227780
304	99908	227659
305	100136	227107
306	100465	226784
307	100856	226599
308	101264	226451
309	101520	225964
310	101872	225690
311	102277	225535
312	102450	224867
313	102821	224636
314	103205	224430
315	103610	224271
316	103991	224057
317	104352	223801
318	104724	223565
319	105122	223384
320	105497	223154
321	105889	222959
322	106407	223027
323	106764	222756
324	107154	222551
325	107523	222302
326	107937	222146
327	108310	221905
328	108646	221586
329	108998	221299
330	109353	221019
331	109709	220740
332	109829	219988
333	110060	219462
334	110454	219260
335	110669	218704
336	111033	218442
337	111393	218172
338	111689	217777
339	112010	217431
340	112369	217158
341	112756	216940
342	113065	216570
343	113406	216263
344	113778	216014
345	114147	215758
346	114387	215260
347	114745	214982
348	115088	214677
349	115470	214445
350	115713	213954
351	116073	213680
352	116437	213414
353	116804	213150
354	116993	212566
355	117339	212265
356	117703	211998
357	118071	211737
358	118456	211506
359	118791	211184
360	119156	210916
361	119387	210411
362	119775	210183
363	120137	209910
364	120527	209684
365	120877	209388
366	121276	209177
367	121710	209025
368	122104	208801
369	122480	208548
370	122834	208255
371	123167	207927
372	123517	207628
373	123825	207258
374	124205	207009
375	124541	206686
376	124916	206426
377	125257	206111
378	125617	205826
379	125965	205522
380	126310	205212
381	126654	204901
382	127006	204603
383	127351	204293
384	127678	203954
385	128035	203661
386	128376	203346
387	128747	203076
388	129053	202702
389	129422	202430
390	129790	202155
391	130129	201832
392	130495	201554
393	130828	201223
394	131186	200931
395	131567	200674
396	131920	200373
397	132267	200063
398	132631	199777
399	133000	199500
400	133373	199228
401	133746	198956
402	134119	198682
403	134460	198363
404	134843	198103
405	135232	197852
406	135613	197588
407	135979	197302
408	136330	196996
409	136705	196723
410	137064	196425
411	137430	196138
412	137813	195875
413	138140	195531
414	138517	195259
415	138873	194957
416	139235	194662
417	139601	194373
418	139980	194101
419	140345	193810
420	140671	193465
421	141030	193165
422	141507	193025
423	141867	192726
424	142217	192412
425	142584	192120
426	142929	191799
427	143286	191494
428	143650	191199
429	144025	190917
430	144412	190651
431	144783	190363
432	145125	190036
433	145492	189743
434	145856	189445
435	146190	189108
436	146564	188822
437	146937	188536
438	147284	188214
439	147604	187859
440	147965	187556
441	148298	187218
442	148658	186913
443	149031	186624
444	149385	186311
445	149748	186010
446	150108	185704
447	150466	185396
448	150835	185100
449	151204	184805
450	151571	184507
451	151946	184217
452	152305	183909
453	152662	183598
454	153023	183292
455	153400	183004
456	153756	182691
457	154106	182370
458	154480	182078
459	154863	181796
460	155221	181484
461	155576	181169
462	155952	180878
463	156302	180555
464	156672	180257
465	157042	179958
466	157410	179656
467	157793	179372
468	158151	179058
469	158542	178782
470	158951	178524
471	159294	178194
472	159642	177867
473	160017	177571
474	160394	177278
475	160780	176993
476	161150	176691
477	161505	176372
478	161860	176053
479	162236	175756
480	162585	175430
481	162958	175129
482	163325	174822
483	163693	174516
484	164065	174213
485	164426	173900
486	164761	173558
487	165110	173231
488	165460	172904
489	165825	172593
490	166203	172296
491	166570	171986
492	166911	171651
493	167247	171310
494	167615	171001
495	167972	170681
496	168328	170360
497	168687	170042
498	169068	169745
499	169430	169430
500	169788	169110
501	170147	168792
502	170504	168470
503	170897	168185
504	171270	167879
505	171645	167574
506	172020	167270
507	172386	166957
508	172744	166635
509	173085	166297
510	173450	165982
511	173819	165671
512	174181	165353
513	174536	165028
514	174889	164701
515	175266	164397
516	175631	164080
517	175997	163766
518	176358	163446
519	176741	163145
520	177108	162831
521	177487	162526
522	177861	162217
523	178213	161888
524	178558	161553
525	178913	161226
526	179276	160907
527	179689	160631
528	180061	160319
529	180427	160001
530	180804	159693
531	181174	159379
532	181554	159073
533	181931	158764
534	182299	158447
535	182669	158131
536	183052	157827
537	183393	157486
538	183749	157158
539	184138	156858
540	184498	156534
541	184865	156214
542	185228	155892
543	185598	155575
544	185942	155236
545	186315	154921
546	186679	154598
547	187050	154282
548	187433	153975
549	187801	153655
550	188152	153322
551	188474	152964
552	188834	152638
553	189180	152300
554	189545	151977
555	189904	151650
556	190396	151428
557	190786	151125
558	191180	150823
559	191589	150534
560	191974	150226
561	192347	149908
562	192736	149601
563	193128	149297
564	193491	148971
565	193878	148662
566	194253	148345
567	194617	148018
568	195007	147711
569	195387	147397
570	195792	147101
571	196170	146784
572	196587	146497
573	196981	146192
574	197350	145867
575	197732	145552
576	198116	145239
577	198487	144916
578	198878	144608
579	199253	144286
580	199635	143970
581	200019	143656
582	200394	143335
583	200763	143009
584	201183	142719
585	201555	142395
586	201932	142075
587	202302	141749
588	202659	141414
589	203051	141103
590	203415	140773
591	203787	140448
592	204134	140105
593	204503	139778
594	204871	139450
595	205242	139124
596	205603	138791
597	205934	138437
598	206302	138108
599	206633	137755
600	207013	137434
601	207380	137105
602	207732	136766
603	208089	136429
604	208433	136084
605	208808	135759
606	209158	135418
607	209489	135065
608	209854	134734
609	210228	134408
610	210579	134068
611	210940	133733
612	211282	133387
613	211637	133049
614	211982	132704
615	212356	132378
616	212713	132040
617	213072	131705
618	213478	131397
619	213839	131063
620	214207	130732
621	214572	130399
622	214944	130070
623	215314	129740
624	215686	129411
625	216059	129083
626	216426	128751
627	216811	128429
628	217167	128090
629	217516	127748
630	217903	127426
631	218292	127107
632	218676	126784
633	219046	126452
634	219408	126116
635	219771	125781
636	220149	125453
637	220530	125128
638	220918	124806
639	221316	124490
640	221686	124158
641	222067	123832
642	222443	123502
643	222822	123174
644	223182	122836
645	223571	122514
646	223931	122175
647	224307	121845
648	224681	121514
649	225043	121177
650	225421	120847
651	225790	120513
652	226144	120171
653	226522	119841
654	226893	119509
655	227227	119155
656	227595	118820
657	227954	118481
658	228325	118147
659	228780	117856
660	229150	117521
661	229499	117176
662	229830	116822
663	230193	116483
664	230541	116137
665	230905	115799
666	231266	115459
667	231635	115124
668	232035	114803
669	232399	114465
670	232838	114163
671	233209	113828
672	233579	113492
673	233930	113147
674	234280	112801
675	234627	112454
676	235004	112121
677	235361	111779
678	235704	111430
679	236074	111093
680	236426	110748
681	236777	110403
682	237145	110065
683	237524	109733
684	237898	109398
685	238277	109065
686	238638	108724
687	239014	108390
688	239407	108063
689	239771	107723
690	240232	107426
691	240587	107082
692	240944	106738
693	241292	106391
694	241671	106057
695	242047	105721
696	242449	105397
697	242808	105054
698	243180	104717
699	243568	104386
700	243917	104039
701	244292	103702
702	244665	103365
703	245030	103024
704	245402	102686
705	245791	102355
